product_code,company_name
B102K20HS,"B102K20HS
B Series Plastic 1NO+1NC Double Flush Black-Yellow 22 mm Control Unit"
B102K20HS10,"B102K20HS10
B Series Plastic 1NO+1NC Double Flush Black-Yellow (0-I) Marked 22 mm Control Unit"
B102K20HSLZ,"B102K20HSLZ
B Series Plastic 1NO+1NC Double Flush Black-Yellow (Light- Bell) Signs Marked 22 mm Control Unit"
B102K20KY,"B102K20KY
B Series Plastic 1NO+1NC Double Flush Red-Green 22 mm Control Unit"
B102K20KY10,"B102K20KY10
B Series Plastic 1NO+1NC Double Flush Red-Green (0-I) Marked 22 mm Control Unit"
B102K20SH10,"B102K20SH10
B Series Plastic 1NO+1NC Double Flush Yellow-Black (0-I) Marked 22 mm Control Unit"
B102K21HB,"B102K21HB
B Series Plastic 1NO+1NC Double Single Extended Black-White 22 mm Control Unit"
B102K21KY,"B102K21KY
B Series Plastic 1NO+1NC Double Single Extended Red-Green 22 mm Control Unit"
B102MH,"B102MH
B Series Plastic 1NO+1NC Spring 40 mm Mushroom Black 22 mm Control Unit"
B102MK,"B102MK
B Series Plastic 1NO+1NC Spring 40 mm Mushroom Red 22 mm Control Unit"
B102MS,"B102MS
B Series Plastic 1NO+1NC Spring 40 mm Mushroom Yellow 22 mm Control Unit"
B102MY,"B102MY
B Series Plastic 1NO+1NC Spring 40 mm Mushroom Green 22 mm Control Unit"
B102S20,"B102S20
B Series Plastic 1NO+1NC (0-I) 60° Selector Stay Put 22 mm Control Unit"
B102S30,"B102S30
B Series Plastic 1NO+1NC (II-0-I) 60° Selector Stay Put 22 mm Control Unit"
B102S32,"B102S32
B Series Plastic 1NO+1NC (II-0-I) 60° Selector Double Spring Return 22 mm Control Unit"
B102SL20K,"B102SL20K
B Series Plastic 1NO+1NC (0-I) 60° Selector Stay Put Illuminated Red 22 mm Control Unit"
B102SL20S,"B102SL20S
B Series Plastic 1NO+1NC (0-I) 60° Selector Stay Put Illuminated Yellow 22 mm Control Unit"
B102SL20Y,"B102SL20Y
B Series Plastic 1NO+1NC (0-I) 60° Selector Stay Put Illuminated Green 22 mm Control Unit"
B102SL32K,"B102SL32K
B Series Plastic 1NO+1NC (II-0-I) 60° Selector Double Spring Return Illuminated Red 22 mm Control Unit"
B102SL32Y,"B102SL32Y
B Series Plastic 1NO+1NC (II-0-I) 60° Selector Double Spring Return Illuminated Green 22 mm Control Unit"
B102T20,"B102T20
B Series Plastic 1NO+1NC (0-I) 90° Selector Stay Put 22 mm Control Unit"
B111DH,"B111DH
B Series Plastic 3NO Spring Flush Black 22 mm Control Unit"
B111DY,"B111DY
B Series Plastic 3NO Spring Flush Green 22 mm Control Unit"
B111S20,"B111S20
B Series Plastic 3NO (0-I) 60° Selector Stay Put 22 mm Control Unit"
B121B30BB,"B121B30BB
B Series Plastic 1NO+1NC+1NO Triple Single Extended Stop White-White 22 mm Control Unit"
B121B30BBOK,"B121B30BBOK
B Series Plastic 1NO+1NC+1NO Triple Single Extended Stop White-White (Arrow) Sign Marked 22 mm Control Unit"
B121B30YY,"B121B30YY
B Series Plastic 1NO+1NC+1NO Triple Single Extended Stop Green-Green 22 mm Control Unit"
B121B30YYOK,"B121B30YYOK
B Series Plastic 1NO+1NC+1NO Triple Single Extended Stop Green-Green (Arrow) Sign Marked 22 mm Control Unit"
B121R30,"B121R30
B Series Plastic 2NO+1NC (II-0-I) 45° Selector Stay Put 22 mm Control Unit"
B130DB,"B130DB
B Series Plastic with Ba9S Lampholder 1NO Spring Flush White 22 mm Control Unit"
B130DH,"B130DH
B Series Plastic with Ba9S Lampholder 1NO Spring Flush Black 22 mm Control Unit"
B130DK,"B130DK
B Series Plastic with Ba9S Lampholder 1NO Spring Flush Red 22 mm Control Unit"
B130DM,"B130DM
B Series Plastic with Ba9S Lampholder 1NO Spring Flush Blue 22 mm Control Unit"
B130DS,"B130DS
B Series Plastic with Ba9S Lampholder 1NO Spring Flush Yellow 22 mm Control Unit"
B130DY,"B130DY
B Series Plastic with Ba9S Lampholder 1NO Spring Flush Green 22 mm Control Unit"
B130HY,"B130HY
B Series Plastic with Ba9S Lampholder 1NO Spring Extended Green 22 mm Control Unit"
B130SL20B,"B130SL20B
B Series Plastic with Ba9S Lampholder 1NO (0-I) 60° Selector Stay Put Illuminated White 22 mm Control Unit"
B130SL20K,"B130SL20K
B Series Plastic with Ba9S Lampholder 1NO (0-I) 60° Selector Stay Put Illuminated Red 22 mm Control Unit"
B130SL20M,"B130SL20M
B Series Plastic with Ba9S Lampholder 1NO (0-I) 60° Selector Stay Put Illuminated Blue 22 mm Control Unit"
B130SL20S,"B130SL20S
B Series Plastic with Ba9S Lampholder 1NO (0-I) 60° Selector Stay Put Illuminated Yellow 22 mm Control Unit"
